"scene","decision","source_principale_apres","reference_iliade_apres","justification"
"94","maintenir","Adaptation Cinéma","","La scene inverse directement le duel Paris/Menelas du Chant III et la reprise du combat apres rupture du pacte au Chant IV."
"98","maintenir","Adaptation Cinéma","","Ajax et Hector sont des figures iliadiques majeures ; la mort filmique inverse une trajectoire signalee par le duel du Chant VII et le role d Ajax au Chant XVII."
"99","maintenir","Adaptation Cinéma","","Reaction filmique a une mort inventee ; le materiau antique est explicatif mais la scene elle-meme reste une transition scenaristique."
"100","maintenir","Adaptation Cinéma","","Retraite grecque causee par les morts filmiques de Menelas et Ajax ; motifs homeriques de recul acheen, mais sequence precise scenaristique."
"101","maintenir","Adaptation Cinéma","","Transition civique inventee apres victoire troyenne filmique."
"102","maintenir","Adaptation Cinéma","","Poursuite amplifiee par les morts non homeriques ; compatible avec Hector, mais sequence issue du film."
"106","maintenir","Adaptation Cinéma","","Image de camp et transition apres defaite inventee, sans passage source precis."
"110","maintenir","Adaptation Cinéma","","Dialogue philosophique Achille-Briseis moderne, sans scene-source dans l Iliade."
"112","maintenir","Adaptation Cinéma","","Romance et tentative de meurtre par Briseis inventees ; l horizon homerique reste secondaire."
"126","maintenir","Adaptation Cinéma","","Montage structurel du film autour des consequences de Patrocle."
"127","maintenir","Adaptation Cinéma","","Transition psychologique Achille-Briseis propre au film."
"132","maintenir","Adaptation Cinéma","","Scene amoureuse inventee ; elle annonce le duel d Hector mais son moteur principal est filmique."
"153","maintenir","Adaptation Cinéma","","Deuil de Briseis pour Hector cousin : consequence de la genealogie filmique de Briseis."
"155","maintenir","Adaptation Cinéma","","Dialogue moral invente qui resume le cycle de vengeance sans reprendre une scene antique."
"166","maintenir","Adaptation Cinéma","","Separation Achille-Eudore propre au film avant le sac."
"181","corriger","Le Cycle Troyen","","La scene se situe pendant le sac de Troie, cadre post-iliadique relevant du Cycle Troyen ; Achille actif y est contradictoire."
"184","maintenir","Adaptation Cinéma","","Tunnel et fuite organises par Andromaque sont une invention ; les destins antiques servent de contraste."
"188","maintenir","Adaptation Cinéma","","Suspense autour de Briseis dans le palais, sans modele mythologique precis."
"189","corriger","Le Cycle Troyen","","Achille dans Troie pendant le sac contredit la chronologie cyclique ou sa mort precede la chute."
"194","maintenir","Adaptation Cinéma","","Mise en danger de Briseis et Agamemnon couvert du sang de Priam dependent de la resolution filmique."
"195","corriger","Le Cycle Troyen","","Achille actif dans le palais pendant le sac contredit la chronologie post-iliadique du Cycle Troyen."
"196","maintenir","Adaptation Cinéma","","Menace sexuelle contre Briseis et fonction de pretresse sont des inventions filmiques autour du conflit du Chant I."
"197","maintenir","Adaptation Cinéma","","Transition inventee vers la resolution Achille-Agamemnon."
"198","corriger","Héritage Gréco-Romain","","La mort d Agamemnon releve de la tradition majeure du retour, notamment Eschyle ; le film la deplace a Troie et la donne a Briseis."
"199","corriger","Le Cycle Troyen","","La mort d Achille par Paris appartient a la tradition post-homerique ; la situation precise reste inventee mais le materiau principal est cyclique."
"202","corriger","Héritage Gréco-Romain","","La scene combine la survivance troyenne, Enee et les destins post-sacrement de Helen/Andromaque ; le fond de controle est surtout virgilien et tragique."
