"scene_number","scene_heading","reference_iliade","degre_fidelite","raison_revue","action_film","explication_litteraire","decision_phase5"
"29","EXT. PALACE OF TROY","Chant VI","4","degre 4 avec reference iliadique","Devant le palais, Hector retrouve Andromaque et leur fils Scamandrius. Pâris présente Hélène à Priam, qui l'accueille comme Hélène de Troie. À l'intérieur, Briséis rejoint la famille royale comme jeune servante d'Apollon et cousine des princes. Priam, Hector et Pâris versent du vin aux dieux pour célébrer leur retour.","La réunion d'Hector, Andromaque et de leur enfant reprend un noyau du Chant VI de l'Iliade. Homère nomme l'enfant Scamandrios, mais précise que les Troyens l'appellent Astyanax, « maître de la ville », parce qu'Hector défend Ilion. Le film déplace cette scène au retour de Sparte, alors que chez Homère elle a lieu pendant la guerre, quand Hector revient brièvement dans Troie. L'accueil d'Hélène par Priam rappelle aussi le Chant III, où Priam traite Hélène avec douceur sur les remparts, mais l'arrivée officielle au palais est cyclique ou inventée. Briséis comme cousine de Priam et acolyte d'Apollon est une forte invention : dans l'Iliade, Briséis est captive d'Achille, enjeu de la querelle du Chant I, non princesse troyenne.","garder tel quel"
"70","INT. ACHILLES' TENT - CONTINUOUS","Chant I","4","degre 4 avec reference iliadique","Dans la tente d'Achille, le butin du temple est entassé sur le sable, mais Achille remarque surtout Briséis, attachée au poteau central. Eudore explique que les Myrmidons l'ont trouvée cachée dans le temple. Achille renvoie ses hommes, libère Briséis et l'interroge. Elle l'accuse d'avoir tué les prêtres d'Apollon et défend la puissance du dieu. Eudore annonce ensuite qu'Agamemnon réclame Achille pour célébrer la victoire.","Briséis est un personnage central du Chant I de l'Iliade, mais le film transforme son origine et son statut. Chez Homère, Briséis est une captive d'Achille prise à Lyrnessos ; Agamemnon la lui enlève après avoir dû rendre Chryséis, ce qui provoque la colère d'Achille. Elle n'est pas cousine de Priam ni acolyte d'Apollon. Le dialogue avec Achille est donc inventé, mais il prépare le conflit homérique autour de la femme captive comme marque d'honneur. Le lien avec Apollon mélange Briséis avec l'univers de Chryséis, fille du prêtre Chrysès, dont la restitution au Chant I apaise la peste envoyée par Apollon. Achille libérant ses liens avant de la garder captive adoucit son rapport au butin par rapport à la logique guerrière antique.","garder tel quel"
"72","INT. AGAMEMNON'S TENT - CONTINUOUS","Chant I","4","degre 4 avec reference iliadique","Dans la tente d'Agamemnon, les rois grecs rendent hommage au chef de l'expédition et lui offrent des présents après la victoire. Achille voit Agamemnon s'attribuer la gloire du combat. Ulysse lui conseille d'ignorer la politique, puis le laisse seul avec le roi. Agamemnon oppose la mémoire des rois à celle des soldats et confisque Briséis comme part de butin. Achille tire l'épée, mais Briséis l'arrête avant qu'il ne tue les hommes d'Agamemnon. Achille menace le roi avant de partir.","La scène reprend le cœur du Chant I de l'Iliade : Agamemnon enlève Briséis à Achille, provoquant la colère du héros et son retrait de la guerre. Le film déplace fortement le contexte : chez Homère, Agamemnon prend Briséis parce qu'il doit rendre Chryséis à son père Chrysès pour apaiser Apollon, non comme premier butin du temple. Au Chant I, v. 188-222, Achille hésite à tuer Agamemnon et Athéna l'arrête ; ici, Briséis prend cette fonction d'interruption. La phrase d'Agamemnon sur les rois et l'histoire modernise la rivalité de kleos et de timê. Triopas est une invention du prologue, et sa présence parmi les rois soumis rappelle le programme impérial du film plus que la coalition homérique.","garder tel quel"
"76","INT. PRIAM'S MEETING HALL - NIGHT","Chant III, Chant XII","1","reference multiple a arbitrer","Dans la salle du conseil, Priam, Hector, Pâris, des généraux, des aristocrates et des prêtres débattent de la réponse à l'occupation grecque. Glaucus veut combattre, Velior suggère la diplomatie en accusant Pâris. Le prêtre Archeptolemus invoque un présage d'aigle et de serpent favorable à Troie. Hector refuse de fonder la stratégie sur les signes et rappelle que les dieux ne combattront pas à leur place. Pâris annonce qu'il défiera Ménélas pour Hélène, mais Hector prévoit qu'Agamemnon ne laissera pas la guerre finir par un duel.","La décision de Pâris de combattre Ménélas reprend le duel du Chant III de l'Iliade, où Alexandre-Pâris affronte Ménélas pour Hélène et les richesses qu'il a prises. Le conseil troyen qui précède est largement inventé. Le présage de l'aigle tenant un serpent renvoie au Chant XII, v. 200-229, où un aigle lâche un serpent au-dessus des Troyens ; Polydamas y voit un avertissement contre l'assaut, tandis qu'Hector rejette l'interprétation. Le film déplace ce signe et l'attribue à Archeptolemus comme oracle favorable. Glaucus est un nom homérique majeur, allié lycien des Troyens au Chant VI, mais son rôle de général troyen âgé est adapté. Hector sceptique face aux présages prolonge sa réplique homérique du Chant XII, où le meilleur signe est de défendre sa patrie.","garder tel quel"
"82","INT. ACHILLES' TENT - LATER - DAY","Chant I, Chant IX","2","reference multiple a arbitrer","Dans sa tente, Achille refuse de suivre l'armée après l'affront infligé par Agamemnon et la prise de Briséis. Eudore sort, laissant Patrocle seul avec lui. Achille interroge Patrocle sur le fait d'être prêt à tuer, évoque les morts qui l'attendent au Styx et lui enseigne de ne pas haïr les ennemis. Il lui dit de ne pas mourir pour les ordres d'un autre, mais pour que son nom ait un sens.","Le refus d'Achille de combattre après l'enlèvement de Briséis reprend directement le Chant I de l'Iliade. Le discours intime à Patrocle est inventé, mais il condense plusieurs idées homériques : mortalité commune, gloire du nom, horreur du destin guerrier. La mention du Styx et des ombres appartient plus largement à l'imaginaire grec de l'au-delà, développé surtout dans l'Odyssée, Chant XI. La phrase sur les mortels et les dieux sans peine rappelle fortement l'Iliade, Chant XXIV, v. 525-526, où Achille dit à Priam que les dieux vivent sans souci tandis que les hommes souffrent. Le film place cette sagesse trop tôt dans l'arc d'Achille, avant la mort de Patrocle.","garder tel quel"
"94","EXT. BATTLEFIELD - CONTINUOUS","","4","reference multiple a arbitrer ; degre 4 avec reference iliadique","Pâris se réfugie aux pieds d'Hector, incapable de reprendre le duel. Ménélas exige que le pacte soit respecté et avance pour le tuer. Agamemnon décide d'exploiter la rupture de l'accord pour lancer l'armée. Hector protège son frère et tue Ménélas d'un coup d'épée. Fou de rage, Agamemnon ordonne la charge générale. Pâris récupère l'Épée de Troie et s'enfuit avec Hector vers les murs, tandis qu'Ulysse comprend que les Grecs s'approchent trop près des archers.","La scène bascule hors de l'Iliade. Dans le Chant III, Ménélas ne meurt pas : Aphrodite sauve Pâris, puis Agamemnon proclame Ménélas vainqueur. Ménélas survit à la guerre et reparaît dans l'Odyssée, Chant IV, comme roi de Sparte aux côtés d'Hélène. La mort de Ménélas par Hector est donc une invention majeure du film. Hector protégeant Pâris remplace l'intervention d'Aphrodite ; la logique familiale se substitue au merveilleux divin. Agamemnon utilisant l'échec du duel pour attaquer transforme aussi le sens homérique, où la rupture du pacte vient ensuite du tir de Pandare au Chant IV, inspiré par Athéna. Glaucus donnant l'ordre aux archers appartient à l'adaptation.","changer de convention"
"98","EXT. BATTLEFIELD - CONTINUOUS","","4","reference multiple a arbitrer ; degre 4 avec reference iliadique","Ulysse tente de réorganiser les lignes grecques pendant que la bataille se disloque. Ajax voit Hector percer les rangs et l'attaque. Il renverse le cheval d'Hector, brise son bouclier et manque de l'étrangler malgré une blessure mortelle. Hector survit de justesse et tue Ajax après un combat brutal.","La mort d'Ajax par Hector est une invention majeure. Dans l'Iliade, Ajax fils de Télamon survit aux combats du poème ; au Chant VII, il affronte Hector en duel sans vainqueur décisif, et au Chant XVII il défend le corps de Patrocle. Sa mort appartient à une tradition postérieure : après l'attribution des armes d'Achille à Ulysse, Ajax se suicide, motif tragique notamment chez Sophocle dans Ajax. Le film inverse donc sa destinée en lui donnant une mort guerrière sous les coups d'Hector. Le combat conserve cependant deux traits homériques : Ajax comme force massive et Hector comme meilleur défenseur troyen. Ulysse réorganisant les troupes correspond à son intelligence pratique ; Selepius relève du personnel scénaristique secondaire.","changer de convention"
"103","EXT. BEACH ENCAMPMENT","Chant VII","4","degre 4 avec reference iliadique","Hector arrête les Troyens avant qu'ils n'entrent à portée des archers grecs retranchés. Lysander veut poursuivre l'ennemi, mais Hector refuse de répéter l'erreur d'Agamemnon. Il ordonne de rassembler les morts troyens et d'envoyer aux Grecs un sauf-conduit pour récupérer les leurs. Il présente cette retenue comme ce qui rend Troie digne d'être défendue.","L'arrêt tactique est inventé, mais le traitement des morts renvoie à l'Iliade. Au Chant VII, après le duel d'Hector et d'Ajax, les deux camps concluent une trêve pour brûler leurs morts. Le film donne l'initiative morale à Hector, alors que chez Homère la trêve résulte d'une nécessité partagée et de négociations. Hector respectueux des morts correspond à l'éthique héroïque, même si l'Iliade montre aussi la dureté extrême des combattants. Lysander reste un personnage scénaristique. La phrase selon laquelle Troie vaut d'être défendue modernise la noblesse d'Hector en civisme explicite.","garder tel quel"
"107","INT. AGAMEMNON'S TENT - NIGHT","Chant IX","4","degre 4 avec reference iliadique","Dans la tente d'Agamemnon, Nestor étudie la carte pendant qu'Ulysse et Agamemnon débattent de la défaite. Ulysse suggère le départ, puis défend l'idée de rester pour protéger la Grèce plutôt que l'orgueil du roi. Nestor souligne la faiblesse du moral grec. Ulysse propose d'aller parler à Achille, et Agamemnon accepte de lui rendre Briséis, avant de révéler qu'il l'a livrée aux soldats.","La scène réélabore l'ambassade à Achille du Chant IX de l'Iliade. Chez Homère, Agamemnon, après les revers achéens, offre de rendre Briséis intacte et d'ajouter de riches présents ; Ulysse, Ajax et Phoenix portent la proposition à Achille. Le film garde l'idée d'une mission diplomatique d'Ulysse mais durcit Agamemnon, qui a abandonné Briséis aux soldats. Nestor conseiller de compromis et Ulysse stratège lucide sont conformes à leurs rôles homériques. L'argument sur la Grèce comme entité politique est plus moderne : l'Iliade parle de rois achéens et d'honneur, pas d'une nation grecque unifiée à protéger.","garder tel quel"
"113","EXT. BAY - DAWN","Formule épique homérique","3","formule sans chant precis","L'aube aux doigts roses se lève sur la baie, tandis que les mouettes crient au-dessus des vagues.","La formule de l'aube aux doigts roses est homérique par excellence, surtout associée à l'Odyssée mais aussi à la diction épique archaïque. La scène ne reprend pas un passage précis de l'Iliade ; elle emprunte seulement une formule poétique traditionnelle.","garder tel quel"
