"scene_number","scene_heading","source_principale","reference_iliade","degre_fidelite","libelle_degre","regle","justification","a_relire"
"0","","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"1","EXT. THESSALIAN VALLEY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"2","EXT. WOODS - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"3","EXT. MYCENAEAN CAMP - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"4","INT. ACHILLES' TENT - CONTINUOUS","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"5","EXT. MYCENAEAN CAMP","Héritage Gréco-Romain","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"6","EXT. THESSALIAN VALLEY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"7","EXT. IONIAN SEA - DUSK","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"8","INT. PALACE OF SPARTA - RECEPTION HALL - CONTINUOUS","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Hector à Sparte ou sur le retour avec Hélène : noyau des Chants Cypriens, mais présence d'Hector et découverte d'Hélène sur le navire inventées et contradictoires avec la tradition de Pâris.","True"
"9","INT. HELEN'S CHAMBER - NIGHT","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"10","INT. PALACE - RECEPTION HALL - NIGHT","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Hector à Sparte ou sur le retour avec Hélène : noyau des Chants Cypriens, mais présence d'Hector et découverte d'Hélène sur le navire inventées et contradictoires avec la tradition de Pâris.","True"
"11","INT. HELEN'S CHAMBER - NIGHT (LATER)","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"12","INT. PALACE - COURTYARD - LATER","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"13","EXT. IONIAN SEA - DAY","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Hector à Sparte ou sur le retour avec Hélène : noyau des Chants Cypriens, mais présence d'Hector et découverte d'Hélène sur le navire inventées et contradictoires avec la tradition de Pâris.","True"
"14","EXT. SHIP'S DECK - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"15","INT. TROJAN SHIP","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Hector à Sparte ou sur le retour avec Hélène : noyau des Chants Cypriens, mais présence d'Hector et découverte d'Hélène sur le navire inventées et contradictoires avec la tradition de Pâris.","True"
"16","INT. PALACE OF SPARTA - HELEN'S BEDCHAMBER - DAY","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Hector à Sparte ou sur le retour avec Hélène : noyau des Chants Cypriens, mais présence d'Hector et découverte d'Hélène sur le navire inventées et contradictoires avec la tradition de Pâris.","True"
"17","INT. HELEN'S BEDCHAMBER","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"18","EXT. TROJAN SHIP","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"19","EXT. MYCENAE HARBOR - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"20","INT. MYCENAE CITADEL - THRONE ROOM - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"21","INT. MYCENAE CITADEL - THRONE ROOM - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"22","EXT. ITHACA - DAY","Héritage Gréco-Romain","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"23","EXT. SEASIDE CLIFF - LATE AFTERNOON","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"24","EXT. BEACH - SUNSET","L'Iliade","Chant IX","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"25","EXT. SEASHORE - SUNSET","L'Iliade","Chant IX","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"26","EXT. AEGEAN SEA - DAY","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"27","EXT. ACHILLES' WARSHIP - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"28","EXT. TROY - DAY","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"29","EXT. PALACE OF TROY","L'Iliade","Chant VI","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","False"
"30","INT. PRIAM'S MEETING HALL - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"32","INT. PARIS'S BEDCHAMBER - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"33","EXT. TROY - DAWN","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"34","EXT. GUARD TOWER - DAWN","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"35","INT. HECTOR'S CHAMBER - CONTINUOUS","L'Iliade","Chant VI","2","déplacement","override_deplacement","Scène identifiée comme déplacement ou condensation d'un motif antique.","False"
"36","INT. PRIAM'S MEETING HALL - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"37","EXT. TROY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"38","EXT. COUNTRYSIDE - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"39","EXT. AEGEAN SEA - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"40","EXT. ACHILLES' WARSHIP","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
